,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BMI1,-0.07950667,0.9698521,4.826181,-0.042111438,-0.060221404,6.3864527,-0.06662953,-0.0014954113,-0.040220182,3.2033381,-0.06273402,-0.04822621,7.132139,-0.017714065,4.9573083,7.3701663
ARNT2,-0.08080807,0.9865922,4.851937,-0.042702787,-0.061313953,6.4845715,-0.06749001,-0.0017902353,-0.040784765,3.2644868,-0.06368736,-0.04908522,7.253303,-0.01806928,5.030063,7.473779
BTG2,-0.07874211,0.9620722,4.8151746,-0.041748445,-0.059595402,6.3354607,-0.06613746,-0.0013466442,-0.039925054,3.1757245,-0.062229976,-0.047752045,7.054649,-0.017484121,4.9135165,7.307981
MED4,-0.07881831,0.9641122,4.817523,-0.04176031,-0.059624393,6.335231,-0.06613195,-0.0013339547,-0.039981253,3.1743639,-0.062279213,-0.047755074,7.0603127,-0.01751118,4.9138227,7.308397
SOAT1,-0.08041925,0.98267007,4.840108,-0.042433824,-0.06090062,6.4510517,-0.067123786,-0.0017220676,-0.040631708,3.2491684,-0.063414626,-0.048766986,7.2045364,-0.017877847,5.000057,7.4303226
TLE1,-0.080901995,0.9926588,4.854956,-0.042781778,-0.06139202,6.497957,-0.06757257,-0.0017771506,-0.04083666,3.2767174,-0.06382235,-0.049167864,7.2599277,-0.018068152,5.032025,7.484949
NFATC2IP,-0.06827637,0.7035101,4.0377793,-0.03168643,-0.059180457,5.219431,-0.054523926,0.024448926,-0.028489813,2.4050791,-0.05170754,-0.04213657,5.8039165,-0.021508466,4.052713,6.4558525
GM13597,-0.06823327,1.2726545,1.6638188,-0.03638305,-0.059693187,5.801876,-0.053134546,-0.00973078,-0.026163418,3.2853477,-0.05580911,-0.047720112,6.24047,-0.022951366,4.1193914,6.077918
SOX4,-0.08000038,0.97608715,4.8365107,-0.042272218,-0.060625356,6.421117,-0.066851586,-0.0015893554,-0.040457264,3.2280664,-0.06307973,-0.048554447,7.1747227,-0.0178871,4.9780946,7.4041023
YEATS2,-0.07960937,0.9732063,4.8344965,-0.04215619,-0.060293663,6.4005632,-0.066708945,-0.0014878564,-0.04029143,3.2149174,-0.06285616,-0.04829628,7.13675,-0.01768964,4.960706,7.3782587
TXNDC12,-0.0775616,0.94574004,4.7952075,-0.041182652,-0.058592808,6.241287,-0.065330654,-0.0010820065,-0.03942937,3.1172922,-0.061329227,-0.046965446,6.945021,-0.017189147,4.847528,7.2094226
ODC1,-0.06801915,1.1348009,4.5976324,-0.034097157,-0.05340841,6.497015,-0.06908205,-0.007737557,-0.035269573,2.4781845,-0.053248923,-0.038211267,5.8979845,-0.010533023,5.0772433,6.0164876
GM24044,-0.06823327,1.2726545,1.6638188,-0.03638305,-0.059693187,5.801876,-0.053134546,-0.00973078,-0.026163418,3.2853477,-0.05580911,-0.047720112,6.24047,-0.022951366,4.1193914,6.077918
CRAMP1L,-0.08068125,0.98674923,4.842702,-0.042523183,-0.061178636,6.4779034,-0.067302465,-0.0017760812,-0.04072319,3.2648156,-0.06361182,-0.048981197,7.232125,-0.01797524,5.014907,7.4548035
YAF2,-0.080862835,0.9955523,4.84469,-0.04270121,-0.061313875,6.476075,-0.06753873,-0.0018572187,-0.040788826,3.2627618,-0.06376142,-0.049021576,7.26371,-0.018142832,5.026829,7.469574
